,Store ID ,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
90,91,1590,1912,830,65350
676,677,1211,1472,790,65390
762,763,1197,1428,830,65410
370,371,1111,1322,610,65500
77,78,1250,1475,1390,65560
101,102,1919,2294,760,65580
79,80,1462,1761,600,65660
733,734,1659,1999,650,65660
511,512,1247,1490,330,65750
512,513,1191,1421,980,65820
796,797,1349,1610,700,65890
243,244,2007,2397,610,65890
540,541,2214,2647,740,65900
63,64,1310,1561,860,65920
845,846,1419,1743,860,65970
120,121,1441,1727,890,66000
823,824,1425,1733,760,66000
437,438,1513,1820,520,66020
239,240,1881,2244,920,66030
485,486,1440,1719,580,66050
510,511,1678,2022,1050,66050
660,661,1667,2020,980,66070
669,670,1485,1785,1340,66160
321,322,1190,1429,470,66170
56,57,1734,2060,1240,66210
216,217,1575,1899,840,66270
731,732,1937,2310,520,66300
14,15,1469,1756,770,66360
891,892,1582,1910,1080,66390
830,831,1724,2101,900,66390
0,1,1659,1961,530,66490
46,47,1769,2087,690,66510
265,266,1240,1492,940,66840
53,54,1864,2240,530,67000
196,197,1496,1791,1240,67030
91,92,2169,2617,600,67080
787,788,1427,1723,1040,67090
488,489,1230,1466,730,67100
627,628,1545,1888,600,67110
566,567,1439,1703,1000,67290
795,796,1440,1747,1090,67320
193,194,1751,2115,790,67360
72,73,891,1073,630,67370
764,765,1150,1378,730,67390
526,527,1857,2236,1280,67420
456,457,1455,1757,650,67520
451,452,1794,2137,670,67610
42,43,1665,2001,730,67640
192,193,1462,1770,1070,67710
226,227,1852,2227,1220,68230
415,416,1462,1732,840,68260
618,619,1503,1791,630,68350
375,376,1391,1683,890,68390
597,598,1563,1872,1080,68420
218,219,1451,1737,890,68430
188,189,1302,1569,710,68450
240,241,1329,1609,1150,68590
129,130,1368,1654,530,68740
300,301,1578,1885,220,68850
202,203,1321,1579,770,68890
21,22,1458,1746,690,68890
305,306,1375,1681,440,68900
441,442,1243,1491,430,69030
475,476,1463,1764,1060,69050
452,453,1086,1291,930,69090
616,617,1412,1701,630,69130
65,66,1707,2052,920,69130
610,611,1513,1804,430,69190
679,680,1519,1823,1040,69210
106,107,1692,2031,810,69310
575,576,1455,1747,750,69320
626,627,1466,1746,590,69370
582,583,1710,2053,730,69390
176,177,1536,1848,670,69450
707,708,1769,2153,580,69560
436,437,1744,2101,520,69570
274,275,1631,1967,1090,69600
162,163,1414,1723,680,69600
523,524,1622,1968,340,69610
675,676,1755,2072,810,69610
169,170,1481,1765,490,69910
242,243,1557,1861,370,69940
191,192,1778,2148,1140,69940
686,687,1307,1562,490,69990
224,225,1647,1962,800,70020
25,26,1732,2073,820,70050
624,625,1057,1284,750,70110
849,850,2067,2492,790,70230
558,559,1231,1472,810,70290
528,529,1700,2064,940,70310
263,264,1875,2254,1120,70400
52,53,1074,1288,320,70450
770,771,1299,1540,590,70580
298,299,1471,1768,780,70610
890,891,1549,1851,1220,70620
58,59,1761,2104,1080,70770
564,565,1466,1743,1200,70810
211,212,1488,1807,1030,70810
799,800,1236,1508,1260,70830
182,183,1923,2339,950,70930
838,839,1638,1937,1050,70940
755,756,1385,1643,740,70940
880,881,1263,1516,780,70980
155,156,1450,1734,380,71120
470,471,1611,1919,960,71240
10,11,1187,1439,1090,71280
623,624,1508,1823,520,71290
60,61,1704,2045,300,71300
444,445,1628,1959,890,71480
212,213,1658,1988,370,71530
311,312,2019,2396,540,71570
73,74,1468,1749,700,71780
812,813,1597,1918,1260,71830
547,548,1141,1353,1370,72000
505,506,1556,1846,760,72020
356,357,1798,2134,820,72050
431,432,1311,1571,470,72090
6,7,1542,1858,1030,72240
885,886,1118,1337,560,72270
201,202,1310,1558,890,72320
230,231,1347,1628,120,72350
569,570,1511,1822,420,72410
34,35,1375,1648,1020,72430
681,682,1451,1750,570,72550
131,132,1076,1270,620,72630
67,68,1416,1681,290,72710
687,688,1475,1775,230,72740
156,157,1613,1921,1200,72800
658,659,1348,1623,1010,72940
141,142,1688,2042,760,73080
177,178,1605,1902,390,73120
816,817,1546,1860,670,73160
448,449,1378,1656,1010,73170
793,794,1388,1672,800,73500
696,697,1225,1455,750,73590
804,805,1722,2078,770,73610
200,201,1468,1744,590,73660
262,263,1199,1433,1020,73710
309,310,1614,1946,740,73800
666,667,1410,1692,790,73800
848,849,919,1099,1560,73810
228,229,1325,1595,540,73860
219,220,1390,1687,620,73990
781,782,1549,1871,740,74080
768,769,1116,1347,700,74080
772,773,1235,1503,660,74160
419,420,1431,1710,840,74170
180,181,1612,1939,840,74250
308,309,1550,1871,590,74320
599,600,1619,1947,910,74330
407,408,1625,1943,680,74520
463,464,1172,1411,460,74550
33,34,1784,2163,620,74560
446,447,1179,1428,1290,74570
303,304,1577,1892,560,74730
406,407,896,1059,870,75110
591,592,1847,2186,910,75120
295,296,1305,1548,480,75200
780,781,1489,1783,450,75300
376,377,1496,1774,810,75490
640,641,1440,1749,490,75530
214,215,1458,1725,750,75550
385,386,1491,1800,980,75620
315,316,1293,1554,970,75800
751,752,1660,1979,480,75800
450,451,1474,1759,880,75880
872,873,1690,2024,1070,75930
319,320,1513,1825,980,75950
617,618,1622,1944,360,75970
738,739,1526,1858,550,76200
335,336,1887,2278,570,76240
601,602,1241,1489,1380,76250
440,441,1721,2076,710,76300
49,50,1408,1688,1040,76350
879,880,1792,2131,810,76420
893,894,1200,1436,1060,76440
586,587,1609,1930,740,76470
304,305,1092,1314,600,76530
138,139,1795,2187,300,76530
316,317,1375,1659,1080,76640
750,751,1085,1308,1170,76670
363,364,1404,1670,620,76730
881,882,1344,1605,1160,76740
302,303,1391,1648,720,77070
867,868,1648,1959,370,77080
600,601,1433,1722,830,77080
229,230,1350,1634,880,77120
94,95,1921,2305,1470,77120
16,17,1578,1907,1440,77250
213,214,1863,2245,640,77260
184,185,1398,1692,650,77420
886,887,1655,1986,1150,77430
530,531,1482,1777,800,77570
744,745,854,1018,660,77740
614,615,1438,1751,760,77790
469,470,2015,2436,680,77960
502,503,1918,2284,310,78020
767,768,1119,1345,790,78060
380,381,1599,1946,940,78090
638,639,1812,2189,310,78090
28,29,1642,1943,710,78100
851,852,1293,1558,790,78100
246,247,1294,1539,790,78130
677,678,1591,1896,780,78130
197,198,1504,1827,840,78230
100,101,1096,1321,900,78420
644,645,1767,2121,1050,78430
171,172,1539,1837,990,78470
663,664,1717,2048,700,78530
527,528,1552,1869,710,78870
15,16,1644,1950,790,78870
472,473,1430,1690,800,78950
258,259,2001,2394,540,79180
107,108,1929,2311,630,79210
449,450,1685,2015,1160,79220
459,460,1396,1668,760,79270
813,814,1873,2252,330,79310
857,858,1653,1982,390,79410
392,393,1264,1502,800,79410
439,440,1908,2304,990,79500
766,767,1596,1939,960,79760
579,580,1860,2246,410,79780
123,124,1947,2333,790,79780
128,129,1365,1636,980,79950
30,31,1439,1746,990,80140
163,164,2044,2474,340,80340
545,546,1185,1420,880,80370
340,341,1922,2290,290,80410
278,279,1855,2197,1170,80490
869,870,1439,1732,1170,80580
783,784,1473,1785,570,80720
116,117,1157,1379,770,80780
428,429,1777,2145,520,80790
655,656,1193,1430,560,80830
125,126,1787,2137,610,80970
653,654,1607,1933,930,81260
467,468,1490,1783,730,81370
621,622,1383,1687,830,81390
810,811,994,1194,1090,81390
331,332,1633,1968,330,81470
752,753,1648,2017,930,81720
50,51,1514,1820,910,81820
342,343,1638,1952,690,81840
227,228,1699,2053,1080,81870
647,648,1327,1590,770,81870
734,735,1743,2061,860,81930
628,629,2044,2408,380,82020
75,76,1635,1956,720,82070
892,893,1387,1663,850,82080
595,596,1498,1805,1270,82270
393,394,1905,2280,1060,82350
654,655,1165,1387,1060,82350
684,685,1540,1820,310,82390
256,257,1648,2003,910,82930
348,349,1362,1634,770,82940
789,790,1275,1548,370,82970
693,694,1560,1883,1040,83220
237,238,1257,1505,950,83250
400,401,1718,2056,1220,83600
57,58,1470,1763,1080,83660
500,501,1382,1660,1070,83720
190,191,1391,1649,810,83750
548,549,1244,1481,410,84040
809,810,1679,2008,790,84300
604,605,1078,1306,680,84360
651,652,1533,1817,950,84360
713,714,1631,1947,670,84410
338,339,1455,1764,390,84690
374,375,1940,2343,1130,84690
74,75,1539,1833,650,84840
29,30,1715,2071,650,84860
806,807,1850,2214,1110,85000
139,140,1179,1412,790,85130
572,573,1143,1375,940,85160
152,153,1548,1855,670,85330
339,340,966,1172,900,85470
378,379,1121,1345,320,85670
798,799,2019,2420,850,85670
754,755,1323,1591,680,85720
620,621,1971,2342,690,86560
740,741,1336,1616,710,86620
346,347,1577,1879,760,86710
785,786,1975,2368,450,86830
759,760,1655,1993,440,86890
874,875,1859,2222,1210,87000
560,561,1371,1650,540,87160
389,390,1320,1562,610,87170
855,856,1214,1455,950,87220
554,555,1832,2185,840,87330
366,367,1207,1476,720,87370
466,467,2229,2667,660,87410
814,815,1218,1459,540,87890
642,643,1534,1841,680,87930
727,728,1440,1711,1020,88120
559,560,1237,1512,1070,88210
876,877,1259,1493,100,88270
742,743,1534,1858,860,88370
555,556,1723,2072,560,88410
195,196,1841,2215,610,88760
81,82,1539,1858,1020,88910
102,103,1262,1500,1170,89080
244,245,1185,1418,1150,89310
404,405,1948,2374,930,89540
556,557,932,1138,820,89760
588,589,1814,2174,770,90070
84,85,1287,1525,1200,90180
422,423,1395,1662,920,90940
234,235,1378,1658,760,90960
421,422,1175,1405,810,91200
383,384,1555,1881,1260,91360
225,226,1829,2175,870,92240
247,248,1296,1559,1070,92300
887,888,1156,1398,140,92370
853,854,1582,1906,550,92640
732,733,1641,1999,950,93000
695,696,1645,1958,530,93360
477,478,1244,1480,860,93530
350,351,1291,1546,420,93950
103,104,1374,1655,1080,94170
689,690,1078,1276,640,94370
571,572,1834,2184,830,94460
664,665,1766,2111,580,94690
811,812,1354,1635,1270,95900
894,895,1299,1560,770,96610
369,370,1769,2112,660,96650
86,87,1931,2342,940,97260
468,469,1060,1279,670,97360
871,872,1800,2158,1100,98260
692,693,1548,1858,480,99480
166,167,1465,1763,680,99570
866,867,1565,1854,900,100900
557,558,1137,1374,700,101780
758,759,1486,1758,820,101820
408,409,1303,1587,1310,102310
432,433,1365,1638,680,102920
868,869,1775,2104,980,105150
649,650,1989,2414,860,116320
