,Store ID ,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
582,583,1710,2053,730,69390
117,118,1712,2046,460,31180
133,134,1713,2071,900,40490
29,30,1715,2071,650,84860
819,820,1716,2038,410,44400
663,664,1717,2048,700,78530
127,128,1718,2051,750,49210
400,401,1718,2056,1220,83600
509,510,1719,2058,700,51760
22,23,1719,2065,950,52780
78,79,1720,2044,960,38660
440,441,1721,2076,710,76300
804,805,1722,2078,770,73610
555,556,1723,2072,560,88410
830,831,1724,2101,900,66390
25,26,1732,2073,820,70050
248,249,1733,2097,730,56170
56,57,1734,2060,1240,66210
281,282,1734,2073,500,39460
515,516,1735,2084,820,56440
465,466,1738,2065,750,56480
160,161,1740,2078,680,50780
734,735,1743,2061,860,81930
436,437,1744,2101,520,69570
478,479,1745,2108,730,46920
12,13,1746,2064,1050,60470
562,563,1748,2092,580,49170
730,731,1748,2086,550,53760
193,194,1751,2115,790,67360
11,12,1751,2098,720,57620
675,676,1755,2072,810,69610
59,60,1756,2070,460,53870
360,361,1759,2095,980,34190
486,487,1760,2111,680,52400
58,59,1761,2104,1080,70770
173,174,1762,2145,490,33460
480,481,1764,2132,920,40840
276,277,1764,2109,1210,50130
347,348,1766,2138,580,49980
664,665,1766,2111,580,94690
721,722,1766,2109,1120,57910
314,315,1766,2131,340,58670
644,645,1767,2121,1050,78430
561,562,1767,2158,530,41540
235,236,1767,2110,1200,64950
447,448,1768,2123,860,49590
369,370,1769,2112,660,96650
46,47,1769,2087,690,66510
707,708,1769,2153,580,69560
574,575,1770,2131,1140,54650
4,5,1770,2111,450,46620
877,878,1771,2138,820,57820
323,324,1771,2147,430,62710
568,569,1772,2146,1030,48540
868,869,1775,2104,980,105150
520,521,1777,2117,780,38280
428,429,1777,2145,520,80790
824,825,1778,2133,280,45950
191,192,1778,2148,1140,69940
43,44,1780,2117,780,39730
506,507,1784,2142,950,64010
33,34,1784,2163,620,74560
98,99,1785,2147,820,63660
125,126,1787,2137,610,80970
425,426,1788,2133,1000,54590
703,704,1791,2167,700,64320
879,880,1792,2131,810,76420
451,452,1794,2137,670,67610
138,139,1795,2187,300,76530
678,679,1797,2126,730,55710
356,357,1798,2134,820,72050
722,723,1799,2173,910,36280
871,872,1800,2158,1100,98260
205,206,1807,2149,910,38120
327,328,1808,2157,730,56810
453,454,1808,2154,990,35220
652,653,1809,2145,940,36530
638,639,1812,2189,310,78090
588,589,1814,2174,770,90070
97,98,1816,2171,1160,61180
882,883,1819,2187,590,47920
818,819,1822,2160,860,49720
164,165,1823,2176,700,37810
719,720,1827,2160,930,36160
225,226,1829,2175,870,92240
513,514,1832,2208,1090,46760
554,555,1832,2185,840,87330
571,572,1834,2184,830,94460
474,475,1836,2195,940,45160
271,272,1837,2220,340,50840
92,93,1838,2205,400,54030
38,39,1839,2204,1010,55170
195,196,1841,2215,610,88760
483,484,1842,2204,930,51320
462,463,1845,2233,370,43190
864,865,1846,2195,1170,41090
591,592,1847,2186,910,75120
399,400,1848,2254,1000,59970
806,807,1850,2214,1110,85000
226,227,1852,2227,1220,68230
96,97,1853,2235,1120,60960
729,730,1854,2205,890,36290
278,279,1855,2197,1170,80490
284,285,1856,2216,1020,64820
526,527,1857,2236,1280,67420
874,875,1859,2222,1210,87000
579,580,1860,2246,410,79780
801,802,1862,2248,1160,51910
238,239,1863,2247,480,51950
213,214,1863,2245,640,77260
53,54,1864,2240,530,67000
35,36,1871,2230,700,45460
126,127,1871,2241,500,61150
700,701,1872,2262,560,62050
813,814,1873,2252,330,79310
263,264,1875,2254,1120,70400
372,373,1876,2254,1340,21650
763,764,1878,2264,310,54200
239,240,1881,2244,920,66030
66,67,1881,2262,570,49080
551,552,1883,2262,570,42240
683,684,1884,2262,310,56910
349,350,1886,2228,1530,40350
629,630,1887,2264,830,62050
335,336,1887,2278,570,76240
412,413,1891,2280,360,51560
112,113,1897,2248,1330,56010
393,394,1905,2280,1060,82350
439,440,1908,2304,990,79500
114,115,1909,2287,1210,46830
373,374,1909,2306,820,31940
837,838,1916,2277,610,55880
502,503,1918,2284,310,78020
101,102,1919,2294,760,65580
94,95,1921,2305,1470,77120
340,341,1922,2290,290,80410
182,183,1923,2339,950,70930
107,108,1929,2311,630,79210
86,87,1931,2342,940,97260
635,636,1933,2338,1140,44730
769,770,1934,2349,750,52990
149,150,1936,2300,1060,49170
731,732,1937,2310,520,66300
861,862,1939,2333,830,40670
19,20,1940,2340,980,40190
374,375,1940,2343,1130,84690
123,124,1947,2333,790,79780
404,405,1948,2374,930,89540
345,346,1954,2378,810,45820
620,621,1971,2342,690,86560
95,96,1975,2385,500,50810
785,786,1975,2368,450,86830
850,851,1977,2362,1020,59950
140,141,1978,2374,800,48590
289,290,1979,2364,660,30810
649,650,1989,2414,860,116320
715,716,1990,2384,1110,64690
258,259,2001,2394,540,79180
344,345,2004,2390,930,50130
243,244,2007,2397,610,65890
61,62,2011,2391,530,46100
784,785,2013,2396,580,47060
469,470,2015,2436,680,77960
798,799,2019,2420,850,85670
311,312,2019,2396,540,71570
567,568,2026,2400,720,51240
628,629,2044,2408,380,82020
163,164,2044,2474,340,80340
550,551,2049,2465,720,63510
398,399,2063,2493,810,51480
849,850,2067,2492,790,70230
91,92,2169,2617,600,67080
540,541,2214,2647,740,65900
466,467,2229,2667,660,87410
